dataset,pca_k,pc1_variance,pca_k_variance,pc1_accuracy,pca_k_accuracy,pca_knn_accuracy,lda_accuracy
模拟二类高斯,2,0.7703801981715731,1.0,0.975,0.975,0.975,0.9625
模拟三类高斯,2,0.5405480959017886,1.0,0.6416666666666667,0.8916666666666667,0.8916666666666667,0.9
UCI Iris,4,0.7292509949238705,1.0,0.9333333333333333,0.8666666666666667,0.9666666666666667,1.0
MNIST,64,0.06256724148988724,0.6728063225746155,0.278,0.743,0.8895,0.8225
CIFAR-10,64,0.26827511191368103,0.8635538816452026,0.15888888888888889,0.26722222222222225,0.2961111111111111,0.32555555555555554
CIFAR-100,64,0.3194063901901245,0.8758014440536499,0.02,0.11133333333333334,0.124,0.11333333333333333
